ts_code,datetime,close,open,high,low,vol,amount
002022.SZ,2026-03-17 11:20:00,6.04,6.05,6.05,6.04,13800.0,83487.0
002022.SZ,2026-03-17 11:21:00,6.04,6.05,6.05,6.04,29000.0,175446.0
002022.SZ,2026-03-17 11:22:00,6.04,6.05,6.05,6.04,3700.0,22374.0
002022.SZ,2026-03-17 11:23:00,6.04,6.04,6.05,6.04,26400.0,159608.0
002022.SZ,2026-03-17 11:24:00,6.04,6.05,6.05,6.04,6500.0,39267.0
002022.SZ,2026-03-17 11:25:00,6.04,6.04,6.05,6.04,4100.0,24781.0
002022.SZ,2026-03-17 11:26:00,6.04,6.04,6.04,6.04,0.0,0.0
002022.SZ,2026-03-17 11:27:00,6.04,6.04,6.04,6.04,64300.0,388372.0
002022.SZ,2026-03-17 11:28:00,6.05,6.05,6.06,6.05,68300.0,413225.0
002022.SZ,2026-03-17 11:29:00,6.05,6.05,6.05,6.05,19800.0,119790.0
002022.SZ,2026-03-17 11:30:00,6.05,6.05,6.05,6.05,3700.0,22385.0
002022.SZ,2026-03-17 13:01:00,6.03,6.05,6.06,6.03,303700.0,1831341.0
002022.SZ,2026-03-17 13:02:00,6.05,6.05,6.05,6.05,3200.0,19360.0
002022.SZ,2026-03-17 13:03:00,6.04,6.04,6.04,6.04,5200.0,31408.0
002022.SZ,2026-03-17 13:04:00,6.04,6.04,6.04,6.04,3100.0,18724.0
002022.SZ,2026-03-17 13:05:00,6.04,6.04,6.04,6.04,900.0,5436.0
002022.SZ,2026-03-17 13:06:00,6.04,6.04,6.04,6.03,51900.0,313036.0
002022.SZ,2026-03-17 13:07:00,6.04,6.04,6.05,6.04,1800.0,10886.0
002022.SZ,2026-03-17 13:08:00,6.04,6.04,6.04,6.04,12800.0,77312.0
002022.SZ,2026-03-17 13:09:00,6.03,6.04,6.04,6.03,2600.0,15703.0
002022.SZ,2026-03-17 13:10:00,6.04,6.04,6.04,6.04,6700.0,40468.0
002022.SZ,2026-03-17 13:11:00,6.04,6.04,6.04,6.03,5700.0,34427.0
002022.SZ,2026-03-17 13:12:00,6.04,6.04,6.04,6.04,2900.0,17516.0
002022.SZ,2026-03-17 13:13:00,6.03,6.03,6.03,6.03,2900.0,17487.0
002022.SZ,2026-03-17 13:14:00,6.03,6.03,6.03,6.03,2300.0,13869.0
002022.SZ,2026-03-17 13:15:00,6.03,6.03,6.04,6.03,36100.0,217696.0
